model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F2007103,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007103 Topaz Pillar cock high neck,Pillar cock high neck with aerator," 2,280",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007103-Topaz-Pillar-cock-high-neck.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007104,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007104 Topaz Pillar cock with swan neck spout,Pillar cock with swan neck spout (left) and aerator," 2,650",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007104-Topaz-Pillar-cock-swan-neck-spout.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007151,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007151 Topaz Bib cock,Bib cock with wall flange and aerator," 1,845",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007151-Topaz-Bib-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007461,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007461 Topaz Central hole basin mixer,Central hole basin mixer with 450 mm braided connection pipe (without pop-up)," 5,780",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007461-Topaz-Central-hole-basin-mixer.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007105,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007105 Topaz Pillar cock swan neck spout,Pillar cock with swan neck spout (right) and aerator," 2,650",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/F2007105-Topaz-Pillar-cock-swan-neck-spout.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007162,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007162 Topaz 2-way bib cock,2-Way bib cock with wall flange and aerator," 2,740",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007162-Topaz-2-way-bib-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007404,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007404 Topaz Wall mixer,Wall mixer with telephonic shower arrangement," 6,430",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007404-Topaz-Wall-mixer.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007402,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007402 Topaz Wall mixer with non return valve,Wall mixer with 210 mm (8.5″) max. long bend pipe for overhead shower with built-in non return valve," 6,740",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007402-Topaz-Wall-mixer-with-non-return-valve.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007211,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007211 Topaz 2-way angle cock,2-Way angle cock with wall flange," 2,550",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007211-Topaz-2-way-angle-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F2007401,bathroom and kitchen fittings,sanitary ware,faucet,quarter turn faucet,cera,CERA Quarter Turn Faucets - F2007401 Topaz Wall mixer,Wall mixer with 210 mm (8.5″) max. long bend pipe for overhead shower," 6,475",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F2007401-Topaz-Wall-mixer-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
